n,alpha,p,seed,overlap,success
256,0.100,26,2918,1.0000,1
256,0.100,26,2919,1.0000,1
256,0.100,26,2920,1.0000,1
256,0.100,26,2921,1.0000,1
256,0.100,26,2922,1.0000,1
256,0.100,26,2923,1.0000,1
256,0.100,26,2924,1.0000,1
256,0.100,26,2925,1.0000,1
256,0.100,26,2926,1.0000,1
256,0.100,26,2927,1.0000,1
256,0.100,26,2928,0.9922,1
256,0.100,26,2929,1.0000,1
256,0.100,26,2930,1.0000,1
256,0.100,26,2931,1.0000,1
256,0.100,26,2932,1.0000,1
256,0.100,26,2933,0.9688,1
256,0.100,26,2934,1.0000,1
256,0.100,26,2935,1.0000,1
256,0.100,26,2936,1.0000,1
256,0.100,26,2937,1.0000,1
256,0.105,27,2918,1.0000,1
256,0.105,27,2919,1.0000,1
256,0.105,27,2920,0.9922,1
256,0.105,27,2921,1.0000,1
256,0.105,27,2922,1.0000,1
256,0.105,27,2923,1.0000,1
256,0.105,27,2924,1.0000,1
256,0.105,27,2925,1.0000,1
256,0.105,27,2926,1.0000,1
256,0.105,27,2927,1.0000,1
256,0.105,27,2928,0.9922,1
256,0.105,27,2929,1.0000,1
256,0.105,27,2930,1.0000,1
256,0.105,27,2931,1.0000,1
256,0.105,27,2932,0.9766,1
256,0.105,27,2933,0.6562,0
256,0.105,27,2934,1.0000,1
256,0.105,27,2935,1.0000,1
256,0.105,27,2936,1.0000,1
256,0.105,27,2937,1.0000,1
256,0.110,28,2918,1.0000,1
256,0.110,28,2919,1.0000,1
256,0.110,28,2920,0.9922,1
256,0.110,28,2921,1.0000,1
256,0.110,28,2922,1.0000,1
256,0.110,28,2923,1.0000,1
256,0.110,28,2924,1.0000,1
256,0.110,28,2925,1.0000,1
256,0.110,28,2926,1.0000,1
256,0.110,28,2927,0.9922,1
256,0.110,28,2928,0.9922,1
256,0.110,28,2929,1.0000,1
256,0.110,28,2930,1.0000,1
256,0.110,28,2931,1.0000,1
256,0.110,28,2932,0.9844,1
256,0.110,28,2933,0.5547,0
256,0.110,28,2934,1.0000,1
256,0.110,28,2935,0.9922,1
256,0.110,28,2936,1.0000,1
