n,seed,final_overlap,alpha,success_rate
256,0,0.945312,0.1300,0.9600
256,1,0.992188,0.1300,0.9600
256,2,1.000000,0.1300,0.9600
256,3,1.000000,0.1300,0.9600
256,4,0.992188,0.1300,0.9600
256,5,0.984375,0.1300,0.9600
256,6,1.000000,0.1300,0.9600
256,7,1.000000,0.1300,0.9600
256,8,1.000000,0.1300,0.9600
256,9,1.000000,0.1300,0.9600
256,10,1.000000,0.1300,0.9600
256,11,1.000000,0.1300,0.9600
256,12,1.000000,0.1300,0.9600
256,13,0.960938,0.1300,0.9600
256,14,0.976562,0.1300,0.9600
256,15,0.992188,0.1300,0.9600
256,16,1.000000,0.1300,0.9600
256,17,1.000000,0.1300,0.9600
256,18,0.992188,0.1300,0.9600
256,19,0.968750,0.1300,0.9600
256,20,1.000000,0.1300,0.9600
256,21,1.000000,0.1300,0.9600
256,22,1.000000,0.1300,0.9600
256,23,1.000000,0.1300,0.9600
256,24,1.000000,0.1300,0.9600
256,25,1.000000,0.1300,0.9600
256,26,0.984375,0.1300,0.9600
256,27,0.960938,0.1300,0.9600
256,28,1.000000,0.1300,0.9600
256,29,0.968750,0.1300,0.9600
256,30,0.968750,0.1300,0.9600
256,31,1.000000,0.1300,0.9600
256,32,0.960938,0.1300,0.9600
256,33,0.960938,0.1300,0.9600
256,34,1.000000,0.1300,0.9600
256,35,0.945312,0.1300,0.9600
256,36,1.000000,0.1300,0.9600
256,37,0.960938,0.1300,0.9600
256,38,1.000000,0.1300,0.9600
256,39,0.984375,0.1300,0.9600
256,40,1.000000,0.1300,0.9600
256,41,0.984375,0.1300,0.9600
256,42,0.976562,0.1300,0.9600
256,43,0.960938,0.1300,0.9600
256,44,0.992188,0.1300,0.9600
256,45,1.000000,0.1300,0.9600
256,46,1.000000,0.1300,0.9600
256,47,0.992188,0.1300,0.9600
256,48,1.000000,0.1300,0.9600
256,49,0.984375,0.1300,0.9600
256,0,0.953125,0.1325,0.9600
256,1,0.992188,0.1325,0.9600
256,2,0.984375,0.1325,0.9600
256,3,1.000000,0.1325,0.9600
256,4,0.992188,0.1325,0.9600
256,5,0.984375,0.1325,0.9600
256,6,1.000000,0.1325,0.9600
256,7,1.000000,0.1325,0.9600
256,8,1.000000,0.1325,0.9600
256,9,0.992188,0.1325,0.9600
256,10,0.968750,0.1325,0.9600
256,11,1.000000,0.1325,0.9600
256,12,1.000000,0.1325,0.9600
256,13,0.960938,0.1325,0.9600
256,14,0.976562,0.1325,0.9600
256,15,0.992188,0.1325,0.9600
256,16,0.992188,0.1325,0.9600
256,17,1.000000,0.1325,0.9600
256,18,0.992188,0.1325,0.9600
256,19,0.976562,0.1325,0.9600
256,20,1.000000,0.1325,0.9600
256,21,1.000000,0.1325,0.9600
256,22,1.000000,0.1325,0.9600
256,23,1.000000,0.1325,0.9600
256,24,1.000000,0.1325,0.9600
256,25,1.000000,0.1325,0.9600
256,26,1.000000,0.1325,0.9600
256,27,0.960938,0.1325,0.9600
256,28,1.000000,0.1325,0.9600
256,29,0.976562,0.1325,0.9600
256,30,0.992188,0.1325,0.9600
256,31,1.000000,0.1325,0.9600
256,32,0.960938,0.1325,0.9600
256,33,0.960938,0.1325,0.9600
256,34,0.992188,0.1325,0.9600
256,35,0.937500,0.1325,0.9600
256,36,1.000000,0.1325,0.9600
256,37,0.953125,0.1325,0.9600
256,38,1.000000,0.1325,0.9600
256,39,0.976562,0.1325,0.9600
256,40,0.992188,0.1325,0.9600
256,41,0.992188,0.1325,0.9600
256,42,0.976562,0.1325,0.9600
256,43,0.968750,0.1325,0.9600
256,44,0.992188,0.1325,0.9600
256,45,1.000000,0.1325,0.9600
256,46,1.000000,0.1325,0.9600
256,47,0.992188,0.1325,0.9600
256,48,0.929688,0.1325,0.9600
256,49,0.984375,0.1325,0.9600
256,0,0.953125,0.1350,0.9400
256,1,0.992188,0.1350,0.9400
256,2,1.000000,0.1350,0.9400
256,3,1.000000,0.1350,0.9400
256,4,0.992188,0.1350,0.9400
256,5,0.984375,0.1350,0.9400
256,6,1.000000,0.1350,0.9400
256,7,1.000000,0.1350,0.9400
256,8,1.000000,0.1350,0.9400
256,9,0.992188,0.1350,0.9400
256,10,0.968750,0.1350,0.9400
256,11,0.992188,0.1350,0.9400
256,12,0.992188,0.1350,0.9400
256,13,0.960938,0.1350,0.9400
256,14,0.976562,0.1350,0.9400
256,15,1.000000,0.1350,0.9400
256,16,0.992188,0.1350,0.9400
256,17,1.000000,0.1350,0.9400
256,18,0.984375,0.1350,0.9400
256,19,0.976562,0.1350,0.9400
256,20,1.000000,0.1350,0.9400
256,21,1.000000,0.1350,0.9400
256,22,1.000000,0.1350,0.9400
256,23,1.000000,0.1350,0.9400
256,24,1.000000,0.1350,0.9400
256,25,1.000000,0.1350,0.9400
256,26,0.976562,0.1350,0.9400
256,27,0.960938,0.1350,0.9400
256,28,0.992188,0.1350,0.9400
256,29,0.953125,0.1350,0.9400
256,30,1.000000,0.1350,0.9400
256,31,1.000000,0.1350,0.9400
256,32,0.960938,0.1350,0.9400
256,33,0.960938,0.1350,0.9400
256,34,0.992188,0.1350,0.9400
256,35,0.929688,0.1350,0.9400
256,36,0.992188,0.1350,0.9400
256,37,0.921875,0.1350,0.9400
256,38,1.000000,0.1350,0.9400
256,39,0.992188,0.1350,0.9400
256,40,0.984375,0.1350,0.9400
256,41,0.984375,0.1350,0.9400
256,42,0.976562,0.1350,0.9400
256,43,0.960938,0.1350,0.9400
256,44,0.992188,0.1350,0.9400
256,45,1.000000,0.1350,0.9400
256,46,1.000000,0.1350,0.9400
256,47,0.992188,0.1350,0.9400
256,48,0.914062,0.1350,0.9400
256,49,0.984375,0.1350,0.9400
256,0,0.953125,0.1375,0.9400
256,1,0.992188,0.1375,0.9400
256,2,1.000000,0.1375,0.9400
256,3,1.000000,0.1375,0.9400
256,4,0.992188,0.1375,0.9400
256,5,0.984375,0.1375,0.9400
256,6,1.000000,0.1375,0.9400
256,7,1.000000,0.1375,0.9400
256,8,1.000000,0.1375,0.9400
256,9,0.992188,0.1375,0.9400
256,10,0.968750,0.1375,0.9400
256,11,0.992188,0.1375,0.9400
256,12,0.992188,0.1375,0.9400
256,13,0.960938,0.1375,0.9400
256,14,0.976562,0.1375,0.9400
256,15,1.000000,0.1375,0.9400
256,16,0.992188,0.1375,0.9400
256,17,1.000000,0.1375,0.9400
256,18,0.984375,0.1375,0.9400
256,19,0.976562,0.1375,0.9400
256,20,1.000000,0.1375,0.9400
256,21,1.000000,0.1375,0.9400
256,22,1.000000,0.1375,0.9400
256,23,1.000000,0.1375,0.9400
256,24,1.000000,0.1375,0.9400
256,25,1.000000,0.1375,0.9400
256,26,0.976562,0.1375,0.9400
256,27,0.960938,0.1375,0.9400
256,28,0.992188,0.1375,0.9400
256,29,0.953125,0.1375,0.9400
256,30,1.000000,0.1375,0.9400
256,31,1.000000,0.1375,0.9400
256,32,0.960938,0.1375,0.9400
256,33,0.960938,0.1375,0.9400
256,34,0.992188,0.1375,0.9400
256,35,0.929688,0.1375,0.9400
256,36,0.992188,0.1375,0.9400
256,37,0.921875,0.1375,0.9400
256,38,1.000000,0.1375,0.9400
256,39,0.992188,0.1375,0.9400
256,40,0.984375,0.1375,0.9400
256,41,0.984375,0.1375,0.9400
256,42,0.976562,0.1375,0.9400
256,43,0.960938,0.1375,0.9400
256,44,0.992188,0.1375,0.9400
256,45,1.000000,0.1375,0.9400
256,46,1.000000,0.1375,0.9400
256,47,0.992188,0.1375,0.9400
256,48,0.914062,0.1375,0.9400
256,49,0.984375,0.1375,0.9400
256,0,0.960938,0.1400,0.9600
256,1,1.000000,0.1400,0.9600
256,2,0.992188,0.1400,0.9600
256,3,1.000000,0.1400,0.9600
256,4,0.992188,0.1400,0.9600
256,5,0.984375,0.1400,0.9600
256,6,1.000000,0.1400,0.9600
256,7,1.000000,0.1400,0.9600
256,8,1.000000,0.1400,0.9600
256,9,0.992188,0.1400,0.9600
256,10,0.968750,0.1400,0.9600
256,11,1.000000,0.1400,0.9600
256,12,1.000000,0.1400,0.9600
256,13,0.960938,0.1400,0.9600
256,14,0.968750,0.1400,0.9600
256,15,1.000000,0.1400,0.9600
256,16,0.992188,0.1400,0.9600
256,17,1.000000,0.1400,0.9600
256,18,0.984375,0.1400,0.9600
256,19,0.976562,0.1400,0.9600
256,20,1.000000,0.1400,0.9600
256,21,1.000000,0.1400,0.9600
256,22,1.000000,0.1400,0.9600
256,23,1.000000,0.1400,0.9600
256,24,1.000000,0.1400,0.9600
256,25,1.000000,0.1400,0.9600
256,26,0.968750,0.1400,0.9600
256,27,0.953125,0.1400,0.9600
256,28,0.992188,0.1400,0.9600
256,29,0.968750,0.1400,0.9600
256,30,0.968750,0.1400,0.9600
256,31,0.992188,0.1400,0.9600
256,32,0.937500,0.1400,0.9600
256,33,0.960938,0.1400,0.9600
256,34,0.984375,0.1400,0.9600
256,35,0.976562,0.1400,0.9600
256,36,1.000000,0.1400,0.9600
256,37,0.929688,0.1400,0.9600
256,38,1.000000,0.1400,0.9600
256,39,0.992188,0.1400,0.9600
256,40,0.984375,0.1400,0.9600
256,41,0.984375,0.1400,0.9600
256,42,0.968750,0.1400,0.9600
256,43,0.960938,0.1400,0.9600
256,44,0.992188,0.1400,0.9600
256,45,0.992188,0.1400,0.9600
256,46,1.000000,0.1400,0.9600
256,47,0.992188,0.1400,0.9600
256,48,0.968750,0.1400,0.9600
256,49,0.976562,0.1400,0.9600
256,0,0.960938,0.1425,0.9600
256,1,1.000000,0.1425,0.9600
256,2,0.992188,0.1425,0.9600
256,3,1.000000,0.1425,0.9600
256,4,0.992188,0.1425,0.9600
256,5,0.984375,0.1425,0.9600
256,6,1.000000,0.1425,0.9600
256,7,1.000000,0.1425,0.9600
256,8,1.000000,0.1425,0.9600
256,9,0.992188,0.1425,0.9600
256,10,0.968750,0.1425,0.9600
256,11,1.000000,0.1425,0.9600
256,12,1.000000,0.1425,0.9600
256,13,0.960938,0.1425,0.9600
256,14,0.968750,0.1425,0.9600
256,15,1.000000,0.1425,0.9600
256,16,0.992188,0.1425,0.9600
256,17,1.000000,0.1425,0.9600
256,18,0.984375,0.1425,0.9600
256,19,0.976562,0.1425,0.9600
256,20,1.000000,0.1425,0.9600
256,21,1.000000,0.1425,0.9600
256,22,1.000000,0.1425,0.9600
256,23,1.000000,0.1425,0.9600
256,24,1.000000,0.1425,0.9600
256,25,1.000000,0.1425,0.9600
256,26,0.968750,0.1425,0.9600
256,27,0.953125,0.1425,0.9600
256,28,0.992188,0.1425,0.9600
256,29,0.968750,0.1425,0.9600
256,30,0.968750,0.1425,0.9600
256,31,0.992188,0.1425,0.9600
256,32,0.937500,0.1425,0.9600
256,33,0.960938,0.1425,0.9600
256,34,0.984375,0.1425,0.9600
256,35,0.976562,0.1425,0.9600
256,36,1.000000,0.1425,0.9600
256,37,0.929688,0.1425,0.9600
256,38,1.000000,0.1425,0.9600
256,39,0.992188,0.1425,0.9600
256,40,0.984375,0.1425,0.9600
256,41,0.984375,0.1425,0.9600
256,42,0.968750,0.1425,0.9600
256,43,0.960938,0.1425,0.9600
256,44,0.992188,0.1425,0.9600
256,45,0.992188,0.1425,0.9600
256,46,1.000000,0.1425,0.9600
256,47,0.992188,0.1425,0.9600
256,48,0.968750,0.1425,0.9600
256,49,0.976562,0.1425,0.9600
256,0,0.953125,0.1450,0.9600
256,1,1.000000,0.1450,0.9600
256,2,0.960938,0.1450,0.9600
256,3,1.000000,0.1450,0.9600
256,4,0.992188,0.1450,0.9600
256,5,0.984375,0.1450,0.9600
256,6,1.000000,0.1450,0.9600
256,7,0.992188,0.1450,0.9600
256,8,1.000000,0.1450,0.9600
256,9,0.992188,0.1450,0.9600
256,10,0.968750,0.1450,0.9600
256,11,0.992188,0.1450,0.9600
256,12,1.000000,0.1450,0.9600
256,13,0.960938,0.1450,0.9600
256,14,0.968750,0.1450,0.9600
256,15,1.000000,0.1450,0.9600
256,16,0.992188,0.1450,0.9600
256,17,1.000000,0.1450,0.9600
256,18,0.968750,0.1450,0.9600
256,19,0.976562,0.1450,0.9600
256,20,1.000000,0.1450,0.9600
256,21,1.000000,0.1450,0.9600
256,22,1.000000,0.1450,0.9600
256,23,1.000000,0.1450,0.9600
256,24,1.000000,0.1450,0.9600
256,25,1.000000,0.1450,0.9600
256,26,0.968750,0.1450,0.9600
256,27,0.953125,0.1450,0.9600
256,28,0.992188,0.1450,0.9600
256,29,0.953125,0.1450,0.9600
256,30,0.968750,0.1450,0.9600
256,31,0.976562,0.1450,0.9600
256,32,0.945312,0.1450,0.9600
256,33,0.960938,0.1450,0.9600
256,34,0.984375,0.1450,0.9600
256,35,0.960938,0.1450,0.9600
256,36,1.000000,0.1450,0.9600
256,37,0.921875,0.1450,0.9600
256,38,1.000000,0.1450,0.9600
256,39,1.000000,0.1450,0.9600
256,40,0.992188,0.1450,0.9600
256,41,0.984375,0.1450,0.9600
256,42,0.968750,0.1450,0.9600
256,43,0.960938,0.1450,0.9600
256,44,0.984375,0.1450,0.9600
256,45,1.000000,0.1450,0.9600
256,46,1.000000,0.1450,0.9600
256,47,0.992188,0.1450,0.9600
256,48,0.960938,0.1450,0.9600
256,49,0.968750,0.1450,0.9600
256,0,0.953125,0.1475,0.9600
256,1,1.000000,0.1475,0.9600
256,2,0.953125,0.1475,0.9600
256,3,1.000000,0.1475,0.9600
256,4,0.992188,0.1475,0.9600
256,5,0.984375,0.1475,0.9600
256,6,1.000000,0.1475,0.9600
256,7,0.992188,0.1475,0.9600
256,8,1.000000,0.1475,0.9600
256,9,0.992188,0.1475,0.9600
256,10,0.968750,0.1475,0.9600
256,11,1.000000,0.1475,0.9600
256,12,1.000000,0.1475,0.9600
256,13,0.968750,0.1475,0.9600
256,14,0.960938,0.1475,0.9600
256,15,0.992188,0.1475,0.9600
256,16,1.000000,0.1475,0.9600
256,17,0.992188,0.1475,0.9600
256,18,0.960938,0.1475,0.9600
256,19,0.976562,0.1475,0.9600
256,20,1.000000,0.1475,0.9600
256,21,1.000000,0.1475,0.9600
256,22,0.984375,0.1475,0.9600
256,23,1.000000,0.1475,0.9600
256,24,1.000000,0.1475,0.9600
256,25,1.000000,0.1475,0.9600
256,26,0.968750,0.1475,0.9600
256,27,0.953125,0.1475,0.9600
256,28,0.992188,0.1475,0.9600
256,29,0.953125,0.1475,0.9600
256,30,0.992188,0.1475,0.9600
256,31,0.960938,0.1475,0.9600
256,32,0.906250,0.1475,0.9600
256,33,0.976562,0.1475,0.9600
256,34,0.984375,0.1475,0.9600
256,35,0.960938,0.1475,0.9600
256,36,0.992188,0.1475,0.9600
256,37,0.945312,0.1475,0.9600
256,38,1.000000,0.1475,0.9600
256,39,0.992188,0.1475,0.9600
256,40,0.992188,0.1475,0.9600
256,41,0.992188,0.1475,0.9600
256,42,0.984375,0.1475,0.9600
256,43,0.960938,0.1475,0.9600
256,44,0.984375,0.1475,0.9600
256,45,0.992188,0.1475,0.9600
256,46,1.000000,0.1475,0.9600
256,47,0.984375,0.1475,0.9600
256,48,0.984375,0.1475,0.9600
256,49,0.968750,0.1475,0.9600
256,0,0.953125,0.1500,0.9600
256,1,1.000000,0.1500,0.9600
256,2,0.953125,0.1500,0.9600
256,3,1.000000,0.1500,0.9600
256,4,0.992188,0.1500,0.9600
256,5,0.984375,0.1500,0.9600
256,6,1.000000,0.1500,0.9600
256,7,0.992188,0.1500,0.9600
256,8,1.000000,0.1500,0.9600
256,9,0.992188,0.1500,0.9600
256,10,0.968750,0.1500,0.9600
256,11,1.000000,0.1500,0.9600
256,12,1.000000,0.1500,0.9600
256,13,0.968750,0.1500,0.9600
256,14,0.960938,0.1500,0.9600
256,15,0.992188,0.1500,0.9600
256,16,1.000000,0.1500,0.9600
256,17,0.992188,0.1500,0.9600
256,18,0.960938,0.1500,0.9600
256,19,0.976562,0.1500,0.9600
256,20,1.000000,0.1500,0.9600
256,21,1.000000,0.1500,0.9600
256,22,0.984375,0.1500,0.9600
256,23,1.000000,0.1500,0.9600
256,24,1.000000,0.1500,0.9600
256,25,1.000000,0.1500,0.9600
256,26,0.968750,0.1500,0.9600
256,27,0.953125,0.1500,0.9600
256,28,0.992188,0.1500,0.9600
256,29,0.953125,0.1500,0.9600
256,30,0.992188,0.1500,0.9600
256,31,0.960938,0.1500,0.9600
256,32,0.906250,0.1500,0.9600
256,33,0.976562,0.1500,0.9600
256,34,0.984375,0.1500,0.9600
256,35,0.960938,0.1500,0.9600
256,36,0.992188,0.1500,0.9600
256,37,0.945312,0.1500,0.9600
256,38,1.000000,0.1500,0.9600
256,39,0.992188,0.1500,0.9600
256,40,0.992188,0.1500,0.9600
256,41,0.992188,0.1500,0.9600
256,42,0.984375,0.1500,0.9600
256,43,0.960938,0.1500,0.9600
256,44,0.984375,0.1500,0.9600
256,45,0.992188,0.1500,0.9600
256,46,1.000000,0.1500,0.9600
256,47,0.984375,0.1500,0.9600
256,48,0.984375,0.1500,0.9600
256,49,0.968750,0.1500,0.9600
256,0,0.953125,0.1525,0.9200
256,1,1.000000,0.1525,0.9200
256,2,0.945312,0.1525,0.9200
256,3,0.992188,0.1525,0.9200
256,4,0.992188,0.1525,0.9200
256,5,0.984375,0.1525,0.9200
256,6,1.000000,0.1525,0.9200
256,7,0.992188,0.1525,0.9200
256,8,1.000000,0.1525,0.9200
256,9,0.992188,0.1525,0.9200
256,10,0.968750,0.1525,0.9200
256,11,1.000000,0.1525,0.9200
256,12,1.000000,0.1525,0.9200
256,13,0.960938,0.1525,0.9200
256,14,0.960938,0.1525,0.9200
256,15,0.992188,0.1525,0.9200
256,16,1.000000,0.1525,0.9200
256,17,1.000000,0.1525,0.9200
256,18,0.960938,0.1525,0.9200
256,19,0.992188,0.1525,0.9200
256,20,1.000000,0.1525,0.9200
256,21,1.000000,0.1525,0.9200
256,22,0.992188,0.1525,0.9200
256,23,1.000000,0.1525,0.9200
256,24,0.976562,0.1525,0.9200
256,25,1.000000,0.1525,0.9200
256,26,0.984375,0.1525,0.9200
256,27,0.953125,0.1525,0.9200
256,28,0.984375,0.1525,0.9200
256,29,0.960938,0.1525,0.9200
256,30,0.968750,0.1525,0.9200
256,31,0.976562,0.1525,0.9200
256,32,0.914062,0.1525,0.9200
256,33,0.968750,0.1525,0.9200
256,34,0.976562,0.1525,0.9200
256,35,0.968750,0.1525,0.9200
256,36,0.992188,0.1525,0.9200
256,37,0.945312,0.1525,0.9200
