dataset,k,seed,image_idx,c_ab,overlap,success
mnist,2,4623,0,0.7041,1.0000,1
mnist,2,4623,1,0.7041,1.0000,1
random,2,4623,0,0.0638,1.0000,1
random,2,4623,1,0.0638,1.0000,1
mnist,2,9209,0,0.7041,1.0000,1
mnist,2,9209,1,0.7041,1.0000,1
random,2,9209,0,-0.0357,1.0000,1
random,2,9209,1,-0.0357,1.0000,1
mnist,2,4532,0,0.7041,1.0000,1
mnist,2,4532,1,0.7041,1.0000,1
random,2,4532,0,-0.0153,1.0000,1
random,2,4532,1,-0.0153,1.0000,1
mnist,2,1092,0,0.7041,1.0000,1
mnist,2,1092,1,0.7041,1.0000,1
random,2,1092,0,0.0128,1.0000,1
random,2,1092,1,0.0128,1.0000,1
mnist,2,3378,0,0.7041,1.0000,1
mnist,2,3378,1,0.7041,1.0000,1
random,2,3378,0,0.0051,1.0000,1
random,2,3378,1,0.0051,1.0000,1
mnist,2,8349,0,0.7041,1.0000,1
mnist,2,8349,1,0.7041,1.0000,1
random,2,8349,0,0.0128,1.0000,1
random,2,8349,1,0.0128,1.0000,1
mnist,2,1570,0,0.7041,1.0000,1
mnist,2,1570,1,0.7041,1.0000,1
random,2,1570,0,0.0638,1.0000,1
random,2,1570,1,0.0638,1.0000,1
mnist,2,7689,0,0.7041,1.0000,1
mnist,2,7689,1,0.7041,1.0000,1
random,2,7689,0,-0.0128,1.0000,1
random,2,7689,1,-0.0128,1.0000,1
mnist,2,1635,0,0.7041,1.0000,1
mnist,2,1635,1,0.7041,1.0000,1
random,2,1635,0,0.0561,1.0000,1
random,2,1635,1,0.0561,1.0000,1
mnist,2,6550,0,0.7041,1.0000,1
mnist,2,6550,1,0.7041,1.0000,1
random,2,6550,0,-0.0536,1.0000,1
random,2,6550,1,-0.0536,1.0000,1
mnist,5,3930,0,0.6480,0.8061,0
mnist,5,3930,1,0.6480,0.7755,0
mnist,5,3930,2,0.6480,0.7500,0
mnist,5,3930,3,0.6480,0.8138,0
mnist,5,3930,4,0.6480,0.8112,0
random,5,3930,0,-0.0041,1.0000,1
random,5,3930,1,-0.0041,1.0000,1
random,5,3930,2,-0.0041,1.0000,1
random,5,3930,3,-0.0041,1.0000,1
random,5,3930,4,-0.0041,1.0000,1
mnist,5,1043,0,0.6480,0.8061,0
mnist,5,1043,1,0.6480,0.7755,0
mnist,5,1043,2,0.6480,0.7500,0
mnist,5,1043,3,0.6480,0.8138,0
mnist,5,1043,4,0.6480,0.8112,0
random,5,1043,0,0.0000,1.0000,1
random,5,1043,1,0.0000,1.0000,1
random,5,1043,2,0.0000,1.0000,1
random,5,1043,3,0.0000,1.0000,1
random,5,1043,4,0.0000,1.0000,1
mnist,5,1100,0,0.6480,0.8061,0
mnist,5,1100,1,0.6480,0.7755,0
mnist,5,1100,2,0.6480,0.7500,0
mnist,5,1100,3,0.6480,0.8138,0
mnist,5,1100,4,0.6480,0.8112,0
random,5,1100,0,0.0082,1.0000,1
random,5,1100,1,0.0082,1.0000,1
random,5,1100,2,0.0082,1.0000,1
random,5,1100,3,0.0082,1.0000,1
random,5,1100,4,0.0082,1.0000,1
mnist,5,3525,0,0.6480,0.8061,0
mnist,5,3525,1,0.6480,0.7755,0
mnist,5,3525,2,0.6480,0.7500,0
mnist,5,3525,3,0.6480,0.8138,0
mnist,5,3525,4,0.6480,0.8112,0
random,5,3525,0,-0.0148,1.0000,1
random,5,3525,1,-0.0148,1.0000,1
random,5,3525,2,-0.0148,1.0000,1
random,5,3525,3,-0.0148,1.0000,1
random,5,3525,4,-0.0148,1.0000,1
mnist,5,8963,0,0.6480,0.8061,0
mnist,5,8963,1,0.6480,0.7755,0
mnist,5,8963,2,0.6480,0.7500,0
mnist,5,8963,3,0.6480,0.8138,0
mnist,5,8963,4,0.6480,0.8112,0
random,5,8963,0,0.0265,1.0000,1
random,5,8963,1,0.0265,1.0000,1
random,5,8963,2,0.0265,1.0000,1
random,5,8963,3,0.0265,1.0000,1
random,5,8963,4,0.0265,1.0000,1
mnist,5,708,0,0.6480,0.8061,0
mnist,5,708,1,0.6480,0.7755,0
mnist,5,708,2,0.6480,0.7500,0
mnist,5,708,3,0.6480,0.8138,0
mnist,5,708,4,0.6480,0.8112,0
random,5,708,0,0.0020,1.0000,1
random,5,708,1,0.0020,1.0000,1
random,5,708,2,0.0020,1.0000,1
random,5,708,3,0.0020,1.0000,1
random,5,708,4,0.0020,1.0000,1
mnist,5,1447,0,0.6480,0.8061,0
mnist,5,1447,1,0.6480,0.7755,0
mnist,5,1447,2,0.6480,0.7500,0
mnist,5,1447,3,0.6480,0.8138,0
mnist,5,1447,4,0.6480,0.8112,0
random,5,1447,0,0.0066,1.0000,1
random,5,1447,1,0.0066,1.0000,1
random,5,1447,2,0.0066,1.0000,1
random,5,1447,3,0.0066,1.0000,1
